,time,species_0,species_1,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,timeseries_id,noise_scale,n_species,sampling_scheme,n_timeseries,n_timepoints,seq_depth,ground_truth
0,0.0,0.04,0.05,0.01,0.02,0.02,0.07,0.01,0.09,0.07,0.03,36656,0.1,10,random,5,10,high,10_sp_gt_1
1,6.157575757575756,0.4493331453269467,0.0,1.8694303470748774,0.8239457745821039,0.1283287789190842,0.40597121072067766,0.03682396295025317,3.175735851817526,0.005529854550032461,1.012643672334425,36656,0.1,10,random,5,10,high,10_sp_gt_1
2,11.309090909090909,0.010352426646542151,0.0,1.0116171914475627,0.5421927738108004,0.857216195906746,0.5731478639078906,0.08628636983820942,1.4153892957315464,0.0353785709485341,0.9914440146921808,36656,0.1,10,random,5,10,high,10_sp_gt_1
3,13.733333333333333,0.00541571729483106,0.0,1.0236357614213154,0.7352905694427319,1.3782244590325006,1.1161811583796333,0.21944232221252216,1.1354592580629332,0.15980383246411972,1.4833832029451326,36656,0.1,10,random,5,10,high,10_sp_gt_1
4,20.096969696969705,0.08849655499528077,0.0,0.3707750257974196,0.8219452742048976,0.1634799503165455,1.1078955853605013,0.42457891705998996,1.09185176328281,2.0185960061573565,1.0041985624166627,36656,0.1,10,random,5,10,high,10_sp_gt_1
5,21.309090909090916,0.16332432190898308,0.0,0.53313245267892,0.9285421044009678,0.11935721854338158,1.090498465999057,0.4676365615623193,1.4907697670283244,1.7711753143214002,1.0540306255550063,36656,0.1,10,random,5,10,high,10_sp_gt_1
6,23.73333333333334,0.17019820814924205,0.0,0.9530019540067132,1.1223617167402087,0.07012617465732528,0.6942123735567606,0.5033648110221309,1.0939720493820178,1.8155574224192703,1.4012098282441956,36656,0.1,10,random,5,10,high,10_sp_gt_1
7,26.157575757575763,0.1519819041804865,0.0,0.8026558198937407,0.9591078981589413,0.06703435139605464,0.8346623018299781,0.4062413850429919,0.7289249302147016,2.7063739172310513,1.8372229601918557,36656,0.1,10,random,5,10,high,10_sp_gt_1
8,27.369696969696975,0.26045669530018967,0.0,0.7143297082970386,0.8132305995175255,0.0424887417574929,1.098772747277324,0.3525238105046941,0.5414997946943932,2.5938274023346564,1.3419442079849575,36656,0.1,10,random,5,10,high,10_sp_gt_1
9,28.58181818181819,0.25074064082074093,0.0,0.7647369639141864,1.2009209261880571,0.023993444763714483,1.0326463215012687,0.3301841342820992,0.5024680863734803,2.3576929587560507,1.4068012276317547,36656,0.1,10,random,5,10,high,10_sp_gt_1
0,1.3090909090909095,0.0718477517945207,0.03187565236494328,0.03614913611285767,0.047628365041529584,0.06035994301069975,0.10130969816533254,0.07985252919013287,0.19633454426974578,0.05147328816626919,0.0287706289334783,2369231,0.1,10,random,5,10,high,10_sp_gt_1
1,2.5212121212121215,0.23752599103958558,0.03512526855994418,0.0698842943934493,0.0783297958330439,0.07301363651924493,0.16851086364724877,0.12995872614697768,1.280670804378593,0.13401027150658004,0.028658873405646053,2369231,0.1,10,random,5,10,high,10_sp_gt_1
2,4.945454545454544,0.9402011800281505,0.003444179449506108,1.2216548989276823,0.3023913357145579,0.19827514573127536,0.40759834001172507,0.20180074561946051,5.533191258832118,0.022224002334324616,0.17464507982134053,2369231,0.1,10,random,5,10,high,10_sp_gt_1
3,6.157575757575756,0.3855087535451046,0.0,2.1949310226854664,0.5266152549905776,0.4567108792242532,0.46886716912101034,0.17860825367200173,2.6810185421921617,0.006930847622065132,0.5216925884871154,2369231,0.1,10,random,5,10,high,10_sp_gt_1
4,8.58181818181818,0.15093160316514967,0.0,1.2737103396678422,0.8302839769107233,1.3203593211184852,0.8216783968337003,0.2046283140955008,2.726501968168512,0.007537320430429956,1.2754684666221583,2369231,0.1,10,random,5,10,high,10_sp_gt_1
5,17.369696969696975,0.08140779578492625,0.0,0.558712937958439,0.5696801604065561,0.7367637447826039,1.32003163257329,0.48046666282105627,0.8197074047944429,1.5143892353256387,1.4413000832341412,2369231,0.1,10,random,5,10,high,10_sp_gt_1
6,18.58181818181819,0.1391467168882707,0.0,0.5056018818790329,0.5059325701048853,0.40003176360359577,1.0266490105027224,0.3867985610523144,0.7452747086189144,1.3718649513432708,1.4104786219550762,2369231,0.1,10,random,5,10,high,10_sp_gt_1
7,22.521212121212127,0.2635908166814764,0.0,1.5789966650878424,0.8833193021800747,0.2569790565177994,0.7449070010263121,0.22856409915486617,0.8848655163921517,1.8241165461331816,1.1479625171441523,2369231,0.1,10,random,5,10,high,10_sp_gt_1
8,24.945454545454552,0.22505335950966113,0.0,0.7137049073746939,1.0932524035646836,0.15183489241835968,0.9021457514664846,0.21930752952837151,1.0579016576046245,2.405701955937201,1.3193502968369524,2369231,0.1,10,random,5,10,high,10_sp_gt_1
9,26.157575757575763,0.2009361387752481,0.0,0.671374813786312,0.8892107019607319,0.09428670373480222,0.730318370564934,0.1883395085631948,0.9153737683782863,2.297241911866837,1.197306546959629,2369231,0.1,10,random,5,10,high,10_sp_gt_1
0,0.0,0.06,0.09,0.02,0.06,0.03,0.03,0.04,0.03,0.02,0.03,416304,0.1,10,random,5,10,high,10_sp_gt_1
1,1.3090909090909095,0.143380814721072,0.14909863345838226,0.0714302914734536,0.1323236294855077,0.02975277089141416,0.03570520225061986,0.06170864770798751,0.14114688353453997,0.04459653581541081,0.015925084623055724,416304,0.1,10,random,5,10,high,10_sp_gt_1
2,2.5212121212121215,0.4278943306229033,0.1400107307241749,0.1121969378200043,0.3530402587652126,0.04575824570712023,0.033667925093905114,0.11014114112229177,0.7043945889462144,0.06369475690385035,0.01857763946553241,416304,0.1,10,random,5,10,high,10_sp_gt_1
3,7.369696969696968,0.03623265560202007,0.0,1.2184093098460316,1.5010598417329808,0.18859314336553407,0.406511352457522,1.0455399275727135,2.694000781450419,0.004849429651042262,0.6011376853664907,416304,0.1,10,random,5,10,high,10_sp_gt_1
4,8.58181818181818,0.008468305107361532,0.0,0.890449030830939,1.1089538040940408,0.2585046509510676,0.5335399286938424,1.7493981836964065,2.5864287741830525,0.006146294256257723,1.4830012968023785,416304,0.1,10,random,5,10,high,10_sp_gt_1
5,11.309090909090909,0.0,0.0,0.5362916649594219,0.5214832017513373,0.5091351080986931,0.5058809982101746,0.7887376245102474,1.647827195238283,0.028314561167814768,1.634186730363927,416304,0.1,10,random,5,10,high,10_sp_gt_1
6,13.733333333333333,0.0,0.0,0.623429915520227,0.3377793463622477,0.9514183052106202,0.6418048877346636,0.6355858975040476,1.5402197558878672,0.1611257756375574,1.6704594359846234,416304,0.1,10,random,5,10,high,10_sp_gt_1
7,22.521212121212127,0.0,0.0,0.20071588354293202,0.513216287378235,0.38221136505791115,0.8485693614058528,0.29361617617306524,2.376957701866358,1.4901221570086542,1.2552641830297109,416304,0.1,10,random,5,10,high,10_sp_gt_1
8,26.157575757575763,0.0,0.0,0.3170390415280479,1.2490306945727512,0.19689781513328009,0.8881069169757279,0.6783925788473651,1.2564386045580775,1.5699942896265338,1.4816063649667477,416304,0.1,10,random,5,10,high,10_sp_gt_1
9,30.096969696969705,0.0,0.0,0.5849870758855279,1.072772541187282,0.047434032634910396,0.8670529616065996,0.5112908482641039,1.0162034580058639,2.485302432961901,1.1807802327976151,416304,0.1,10,random,5,10,high,10_sp_gt_1
0,3.733333333333334,0.3957372800690092,0.1127493140212106,0.3870319419646253,0.6892675332209051,0.12453440777643053,0.3700340520254271,0.3695643895866699,2.9244277827471215,0.02070794159181547,0.0907082919916844,10488077,0.1,10,random,5,10,high,10_sp_gt_1
1,4.945454545454544,0.33505042613308367,0.02721251652487721,0.8683608883974782,1.2287890181099084,0.19029158516742042,0.7165821619439038,0.7809399352701359,3.864656158165415,0.010792973825293038,0.2681858488259485,10488077,0.1,10,random,5,10,high,10_sp_gt_1
2,12.52121212121212,0.07340510739228748,0.0,0.7407681799533785,0.5793678666769984,1.020599669050197,1.7764084909971318,0.7169607745355393,0.9461163234783138,0.0862942022516173,1.2183540387765208,10488077,0.1,10,random,5,10,high,10_sp_gt_1
3,13.733333333333333,0.07234788510597014,0.0,0.9675075999256284,0.6049671941066261,1.946837892404425,1.190700323193766,0.6169218282853748,1.1600209664656345,0.2654683447845617,1.0867767866554587,10488077,0.1,10,random,5,10,high,10_sp_gt_1
4,18.58181818181819,0.11454575277705636,0.0,0.5563962646347217,1.0167043396498063,0.3891088298085626,0.6427163733157342,0.6252011295668437,1.2215955733340471,2.1763704425949784,1.0741293291869787,10488077,0.1,10,random,5,10,high,10_sp_gt_1
5,20.096969696969705,0.1201014473792386,0.0,0.35854864576138173,1.1691022761942387,0.2313710596890059,0.577659674811417,0.7211800569346316,1.1731983397453882,2.019842329153568,0.7872984999685162,10488077,0.1,10,random,5,10,high,10_sp_gt_1
